SampleID,collection_day_s,common_name_s,description_s,nutrition_calcium_s,nutrition_calorie_s,nutrition_carb_s,nutrition_cholesterol_s,nutrition_fat_s,nutrition_fiber_s,nutrition_protein_s,nutrition_satfat_s,nutrition_sodium_s,nutrition_sugar_s,,,,,,,,,,,,,,,
ERR531441,233,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531442,169,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531443,138,human gut metagenome,DonorA Stool,1820.42,1124.26268,158.2822909,82,30.80039962,21.48099998,40.98984802,12.10025981,1609.28873,25.36068965,,,,,,,,,,,,,,,
ERR531444,267,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531445,96,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531446,63,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531447,129,human gut metagenome,DonorA Stool,1251.753319,4219.569958,638.3764284,625.7399998,127.2658997,33.78500009,149.8079988,35.44035994,6072.616638,158.8667998,,,,,,,,,,,,,,,
ERR531448,245,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531449,21,human gut metagenome,DonorA Stool,217.3733298,1753.726907,198.4379172,100,82.9707607,14.18980042,66.57761554,17.18051288,3159.123654,84.52600153,,,,,,,,,,,,,,,
ERR531450,346,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531451,69,human gut metagenome,DonorA Stool,517.1766682,2055.893347,283.5657892,293.4199994,57.17546707,6.342333317,90.9884693,18.58820335,2019.265005,115.3092674,,,,,,,,,,,,,,,
ERR531452,80,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531453,242,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531454,240,human oral metagenome,DonorA Saliva,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531455,131,human oral metagenome,DonorA Saliva,220.579998,2413.260002,241.6760025,148.6000061,98.88400006,10.05600011,138.6180024,25.08556122,2611.520035,67.93780017,,,,,,,,,,,,,,,
ERR531456,275,human oral metagenome,DonorA Saliva,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531457,157,human gut metagenome,DonorA Stool,69.1899991,1074.570011,170.7663012,122.3499985,21.42834996,9.21299988,51.43479896,7.058004986,369.899998,60.21609832,,,,,,,,,,,,,,,
ERR531458,154,human gut metagenome,DonorA Stool,439.0499978,4027.000016,358.7390051,514.7999954,129.1832017,10.24100012,245.8056995,46.69978015,5173.749988,96.46529914,,,,,,,,,,,,,,,
ERR531459,120,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531460,63,human gut metagenome,DonorA Stool,583.828012,1902.716501,223.3709368,532.0499916,72.80736942,11.03604991,93.80941124,31.527668,1488.035015,75.49553965,,,,,,,,,,,,,,,
ERR531461,160,human gut metagenome,DonorA Stool,384.0800023,1312.500409,79.83852458,250.6399994,48.54260017,3.749333292,70.31896317,16.76133001,2302.330003,2.646166686,,,,,,,,,,,,,,,
ERR531462,161,human gut metagenome,DonorA Stool,636.506997,3225.741006,400.7691532,323.9940075,139.743849,19.91470077,100.3709508,58.58204286,5738.884131,210.13207,,,,,,,,,,,,,,,
ERR531463,108,human oral metagenome,DonorA Saliva,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531464,142,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531465,264,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531466,276,human oral metagenome,DonorA Saliva,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531467,200,human oral metagenome,DonorA Saliva,920.8000002,1961.470014,287.2226019,166.6399994,48.65780047,22.84799999,67.5906024,21.39772005,3861.580004,102.1968,,,,,,,,,,,,,,,
ERR531468,47,human gut metagenome,DonorA Stool,790.3759983,3331.392003,526.2315619,273,93.8389219,30.12840021,112.0285617,38.64244731,5585.396,250.7916403,,,,,,,,,,,,,,,
ERR531469,186,human oral metagenome,DonorA Saliva,444.2199993,1522.125096,215.7289944,127.3000031,46.14740038,13.20000005,62.5746007,18.05474019,2526.962265,112.2154922,,,,,,,,,,,,,,,
ERR531470,196,human oral metagenome,DonorA Saliva,309.79,2745.570017,333.9950018,375.2200012,93.6879999,4.264000058,109.8591986,25.72211997,3358.489975,87.65800001,,,,,,,,,,,,,,,
ERR531471,169,human oral metagenome,DonorA Saliva,700.54,1301.670003,199.8886032,44.40000153,42.89979985,2.282000065,34.61460114,17.00640012,1877.390007,105.079,,,,,,,,,,,,,,,
ERR531472,17,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531473,317,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531474,89,human oral metagenome,DonorA Saliva,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531475,165,human oral metagenome,DonorA Saliva,319.4799995,1653.74,244.2000008,50,47.69480038,9.200000048,45.16880035,19.50948,2831.98,154.5,,,,,,,,,,,,,,,
ERR531476,115,human oral metagenome,DonorA Saliva,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531477,68,human oral metagenome,DonorA Saliva,115.0725,2320.031747,363.669657,106,29.85620003,20.19950008,58.45434968,8.583699999,2505.469606,102.2601569,,,,,,,,,,,,,,,
ERR531478,301,human gut metagenome,DonorA Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531479,186,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
ERR531480,127,human gut metagenome,DonorB Stool,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,<not provided>,,,,,,,,,,,,,,,
